English common name of herbal substance,Latin name of herbal substance,Full Text PDF URL,Monograph PDF URL,Page URL,Revision date,Interactions with other medicinal products and other forms of interaction,Unnamed: 2,Unnamed: 3,date,url,Undesirable effects,Overdose,Pharmacodynamic properties,Pharmacokinetic properties,Preclinical safety data
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",No data available.,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",No data available.,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,No case of overdose has been reported.,,,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,No case of overdose has been reported.,,,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,No case of overdose has been reported.,,No data available.,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,No case of overdose has been reported.,,No data available.,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,No case of overdose has been reported.,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,No case of overdose has been reported.,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,No case of overdose has been reported.,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",No data available.,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,,No case of overdose has been reported.,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",No data available.,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,,,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,,,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,,No data available.,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,,No data available.,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",No data available.,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",No data available.,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",No case of overdose has been reported.,,,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",No case of overdose has been reported.,,,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",No case of overdose has been reported.,,No data available.,
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",No case of overdose has been reported.,,No data available.,"In a six-month study in rats the no-observedeffect-level (NOEL) for the isopropanolic extract (granulate) was defined with 22.5 mg native
extract/kg bodyweight.
Evidence from in-vitro and in-vivo pharmacological studies suggests that Cimicifugae rhizoma extracts do not influence the latency or development of breast cancer. However, contradictory results have been obtained in other
in-vitro experiments.
In Cimicifugae rhizoma-treated (isopropanolic black cohosh extract equivalent to 40 mg of root and rhizome), tumour-bearing, female transgenic mice, the percentage of mice with detectable metastatic lung tumours at necropsy was increased compared to those on the control diet.
However, in the same experimental model, no increase in primary breast tumour was seen.
Influence on breast cancer or other hormonedepending tumours cannot be excluded.
Adequate tests on genotoxicity, carcinogenicity and reproductive toxicity have not been performed."
Black Cohosh,Cimicifugae rhizoma,https://www.ema.europa.eu/documents/herbal-report/final-assessment-report-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/documents/herbal-monograph/final-european-union-herbal-monograph-cimicifuga-racemosa-l-nutt-rhizome-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/cimicifugae-rhizoma,2018-07-26 17:45:00,,,,,,"Hepatobiliary disorders
Liver toxicity (including hepatitis, jaundice,
disturbances in the liver function tests) is associated with the use of Cimicifugae rhizoma containing products. The frequency is not known.
Skin and subcutaneous tissue disorders Allergic skin reactions (urticaria, itching, exanthema), facial oedema and peripheral
oedema have been reported. The frequency is not known.
Gastrointestinal disorders Gastrointestinal symptoms (i.e. dyspeptic
disorders, diarrhoea) have been reported. The frequency is not known.
If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.",No case of overdose has been reported.,"Pharmacotherapeutic group: other gynaecologicals.
Proposed ATC code: G02CX04
Neither the mode of action nor the constituents relevant for the improvement of menopausal complaints are known.",,
